CONF,DATE,FRAN,PLAYER,SALARY,YEARS,CONTRACT,2026 PEN,2027 PEN,B/R,TR/IB,FG,(S),JT,1.XX+,NOTES,ENTD?,RVSD?
AFC,9/2/2026 21:13:51,BAL,Christian Kirk,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,9/3/2026 15:23:30,BAL,Noah Brown,2.06,1,2024 UFA,,,,,,,,,SALARY FROM TRADE SOURCE SNAPSHOT: LVR -> BAL,,
AFC,9/3/2026 15:23:30,BAL,Derek Barnett,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,9/3/2026 15:23:30,BAL,Khalen Saunders,2.06,1,2024 UFA,,,,,,,,,SALARY FROM TRADE SOURCE SNAPSHOT: LVR -> BAL,,
AFC,9/3/2026 15:23:30,BAL,Andrew Wingard,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,9/3/2026 15:33:23,MIA,Brian Robinson,2,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,9/3/2026 17:22:10,DEN,Tyler Loop,1.06,3,2025 5.02,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
AFC,9/4/2026 17:09:52,BAL,Jack Sawyer,1.2,1,2026 UFA,,,,,,,,,PENDING WAIVER UNTIL 09/06/2026 05:00 AM EDT,,
AFC,9/4/2026 17:14:05,DEN,Evan Engram,6.48,1,2025 UFA,,,,,,,,,PENDING WAIVER UNTIL 09/06/2026 05:00 AM EDT,,
AFC,9/5/2026 17:58:44,BAL,Calais Campbell,2,1,2026 UFA,,,,,,,,,PENDING WAIVER UNTIL 09/07/2026 05:00 AM EDT,,
AFC,9/5/2026 17:59:07,BAL,Jaylon Johnson,2,1,2026 UFA,,,,,,,,,PENDING WAIVER UNTIL 09/07/2026 05:00 AM EDT,,
AFC,9/5/2026 18:01:19,BAL,Harrison Butker,1.1,1,2026 UFA,,,,,,,,,PENDING WAIVER UNTIL 09/07/2026 05:00 AM EDT,,
AFC,9/5/2026 18:01:19,BAL,Braden Mann,1.1,1,2026 UFA,,,,,,,,,PENDING WAIVER UNTIL 09/07/2026 05:00 AM EDT,,
NFC,4/23/2026 00:00:00,CAR,C. Gardner Johnson,7.94,1,2025 UFA,,,,,,,,,,,
NFC,5/1/2026 21:24:10,ATL,Cash Trade,8.55,,,,,,x,,,,,,,
NFC,5/1/2026 21:24:10,NYG,Cash Trade,-8.55,,,,,,x,,,,,,,
NFC,5/3/2026 08:32:29,ATL,Cash Trade,3.65,,,,,,x,,,,,,,
NFC,5/3/2026 08:32:29,WAS,Cash Trade,-3.65,,,,,,x,,,,,,,
NFC,6/22/2026 11:10:37,SFO,Cash Trade,6.5,,,,,,x,,,,,,,
NFC,6/22/2026 11:10:37,DAL,Cash Trade,-6.5,,,,,,x,,,,,,,
NFC,6/22/2026 14:10:54,CHI,Kris Jenkins,1.12,1,2024 4.15,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,7/1/2026 09:56:00,MIN,Terrion Arnold,1.13,2,2024 4.10,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,7/13/2026 13:52:33,NYG,Trevor Etienne,1.04,3,2025 5.07,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,7/13/2026 13:55:58,NYG,Keion White,1.23,1,2023 4.09,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,7/13/2026 15:46:14,ATL,Nate Hobbs,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/7/2026 18:27:07,DET,Sione Vaki,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/11/2026 20:47:50,ATL,Mekhi Blackmon,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/16/2026 20:37:41,MIN,Jamal Adams,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 01:05:35,SEA,Treylon Burks,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 01:05:35,SEA,JaTavion Sanders,1.34,1,2024 3.10,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 01:05:35,SEA,Donte Thornton,1.03,3,2025 5.17,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 01:05:35,SEA,Arian Smith,0.99,2,2025 UDFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 01:05:35,SEA,KeAndre Lambert-Smith,0.99,2,2025 UDFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
NFC,8/17/2026 15:18:51,PHI,Mason Rudolph,1.1,1,2026 UFA,,,,,,,,,BELOW UDFA MINIMUM; CHECK/ADJUST TO $2.01m,,
