source,franchise_id,conference,franchise,franchise_name,player_id,player_name,occurred_at,round,type,type_desc,event_text,auction_event_type,auction_franchise_id,auction_player_id,auction_amount_raw,auction_amount,auction_forced_franchise_name,event_kind,commissioner_initiated,auction_high_bidder_franchise
transactions,0016,NFC,SEA,Seattle Seahawks,,,2026-08-27T17:46:45Z,,AUCTION_WON,,NA 1787852805 NA 0016 AUCTION_WON NA NA NA NA NA NA NA 17743|1.10| NA NA NA NA NA,,,,,,,win,FALSE,SEA
transactions,0017,AFC,BUF,Buffalo Bills,,,2026-08-28T15:04:19Z,,AUCTION_WON,,NA 1787929459 NA 0017 AUCTION_WON NA NA NA NA NA NA NA 12218|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BUF
transactions,0008,NFC,MIN,Minnesota Vikings,,,2026-08-28T15:46:31Z,,AUCTION_WON,,NA 1787931991 NA 0008 AUCTION_WON NA NA NA NA NA NA NA 17753|1.10| NA NA NA NA NA,,,,,,,win,FALSE,MIN
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-28T18:04:41Z,,AUCTION_INIT,,NA 1787940281 NA 0025 AUCTION_INIT NA NA NA NA NA NA NA 15895|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,HOU
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-28T18:04:51Z,,AUCTION_INIT,,NA 1787940291 NA 0025 AUCTION_INIT NA NA NA NA NA NA NA 15445|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,HOU
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-28T18:30:43Z,,AUCTION_INIT,,NA 1787941843 NA 0021 AUCTION_INIT NA NA NA NA NA NA NA 16342|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,BAL
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-29T00:47:43Z,,AUCTION_INIT,,NA 1787964463 NA 0025 AUCTION_INIT NA NA NA NA NA NA NA 14983|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,HOU
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-29T12:23:59Z,,AUCTION_INIT,,NA 1788006239 NA 0009 AUCTION_INIT NA NA NA NA NA NA NA 13718|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,ATL
transactions,0021,AFC,BAL,Baltimore Ravens,,,2026-08-29T21:23:11Z,,AUCTION_WON,,NA 1788038591 NA 0021 AUCTION_WON NA NA NA NA NA NA NA 16342|1.10| NA NA NA NA NA,,,,,,,win,FALSE,BAL
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-29T21:23:11Z,,AUCTION_WON,,NA 1788038591 NA 0025 AUCTION_WON NA NA NA NA NA NA NA 15895|1.10| NA NA NA NA NA,,,,,,,win,FALSE,HOU
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-29T21:23:11Z,,AUCTION_WON,,NA 1788038591 NA 0025 AUCTION_WON NA NA NA NA NA NA NA 15445|1.10| NA NA NA NA NA,,,,,,,win,FALSE,HOU
transactions,0025,AFC,HOU,Houston Texans,,,2026-08-30T03:16:56Z,,AUCTION_WON,,NA 1788059816 NA 0025 AUCTION_WON NA NA NA NA NA NA NA 14983|1.10| NA NA NA NA NA,,,,,,,win,FALSE,HOU
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-30T13:11:26Z,,AUCTION_WON,,NA 1788095486 NA 0009 AUCTION_WON NA NA NA NA NA NA NA 13718|1.10| NA NA NA NA NA,,,,,,,win,FALSE,ATL
transactions,0009,NFC,ATL,Atlanta Falcons,,,2026-08-30T19:16:45Z,,AUCTION_INIT,,NA 1788117405 NA 0009 AUCTION_INIT NA NA NA NA NA NA NA 16293|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,ATL
transactions,0030,AFC,KCC,Kansas City Chiefs,,,2026-08-30T21:03:47Z,,AUCTION_INIT,,NA 1788123827 NA 0030 AUCTION_INIT NA NA NA NA NA NA NA 16896|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,KCC
transactions,0002,NFC,NYG,New York Giants,,,2026-08-31T00:48:40Z,,AUCTION_INIT,,NA 1788137320 NA 0002 AUCTION_INIT NA NA NA NA NA NA NA 16923|1.10| NA NA NA NA NA,,,,,,,nomination,FALSE,NYG
