captured_at,snapshot_time,season,week,conference,franchise,franchise_name,player_id,player_name,player_team,player_pos,roster_status,player_status
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16579,"Williams, Caleb",CHI,QB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16641,"Bowers, Brock",LVR,TE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16650,"Turner, Dallas",MIN,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,13630,"Sutton, Courtland",DEN,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17081,"Egbuka, Emeka",TBB,WR,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17052,"Tuten, Bhayshul",JAC,RB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17144,"Emmanwori, Nick",SEA,S,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16660,"Robinson, Darius",ARI,DT,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16252,"McDonald, Will",NYJ,DE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,17125,"Knight, Demetrius",CIN,LB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15799,"Ferguson, Jake",DAL,TE,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15742,"Warren, Jaylen",PIT,RB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,13952,"Luvu, Frankie",WAS,LB,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14159,"Lawrence, Dexter",CIN,DT,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16184,"Reed, Jayden",GBP,WR,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14179,"Love, Julian",SEA,S,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,14147,"Bosa, Nick",SFO,DE,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15819,"Wyatt, Devonte",GBP,DT,Active,
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,15401,"Wright, Nahshon",NYJ,CB,Active,Questionable
2026-09-01 03:34:29 UTC,2026-09-01T03:34:20Z,2026,1,NFC,PHI,Philadelphia Eagles,16705,"Bullock, Calen",HOU,S,Active,
